問題,元の過去問,回答,他の選択肢,他の選択肢,他の選択肢
特定の企業やグループなどが採用した仕様が広く利用されるようになり、事実上の業界標準になったもの,H21A001,デファクトスタンダード,JIS,ISO,
工業製品に関して、日本工業規格として定めたもの,H21A001,JIS,デファクトスタンダード,ISO,
工業や科学技術に関して、国際標準化機構が定めた規格,H21A001,ISO,JIS,デファクトスタンダード,
その要因となっている複数の事象の構成比率を明らかにして、主要な要因を把握するために用いる図,H21A002,パレート図,,,
原材料の使用量を減らすとともに、消費電力を少なくした製品を提供することこと,H21A003,CSR,バリューエンジニアリング,フレキシブル生産方法,M&A
自社製品に新しい機能を付加し、他社製品と差別化した製品を提供すること,H21A003,バリューエンジニアリング,CSR,フレキシブル生産方法,M&A
セル生産方式を導入し、市場の多様なニーズに合わせた製品を提供すること,H21A003,フレキシブル生産方法,バリューエンジニアリング,CSR,M&A
他企業の買収によって、自社がもっていなかった製品を提供すること,H21A003,M&A,バリューエンジニアリング,フレキシブル生産方法,CSR
顧客に応じた商品の推薦に最適な技術,H21A004,データマイニング,,,
サービス提供事業者が、利用者の通信機器やサーバーを自社の建物内に設置し運用するサービス,H21A006,ハウジングサービス,ASP,MSP,ホスティングサービス
サービス提供事業者が、インターネット経由で業務ソフトウェアを提供するサービス,H21A006,ASP,ハウジングサービス,MSP,ホスティングサービス
サービス提供事業者が、ほかの企業の情報システムに関する企画や開発、運用、管理、保守業務を行うサービス,H21A006,MSP,ハウジングサービス,ASP,ホスティングサービス
サービス提供事業者が、利用者に自社の建物内に設置したサーバや通信機器を貸し出すサービス,H21A006,ホスティングサービス,ハウジングサービス,ASP,MSP
自社では工場をもたずに製品の企画を行い、ほかの企業に生産委託する企業形態のこと,H21A008,ファブレス,OEM,SPA,ODM
相手先の商標やブランドで製造し、供給すること,H21A008,OEM,ファブレス,SPA,ODM
製品の企画から製造、販売までの機能を垂直統合した製造小売業のこと,H21A008,SPA,OEM,ファブレス,ODM
製品の設計、試作、製造を一括して生産受託するサービスのこと,H21A008,ODM,ファブレス,SPA,OEM
2人又はそれ以上の上司から指揮命令を受けるが、プロジェクトの目的別管理と職能部門の職能的責任との調和を図る組織構造,H21A009,マトリックス組織,事業部制組織,社内ベンチャ組織,職能別組織
業務で利用するデータの構造を分析し、抽出したエンティティとエンティティ間の関係をE-R図などで整理する手法,H21A014,データモデリング,データクリーニング,データクレンジング,データマイニング
顧客のニーズや欲求に対する理解が深まり、長期的な関係を築きやすくなる,H21A015,CRM,債権管理システム,SCM,SFA
売掛金に対する顧客の支払い状況を把握しやすくなるシステム,H21A015,債権管理システム,SCM,SFA,CRM
顧客が発注してから納品するまでの時間を短縮しやすくなるシステム,H21A015,SCM,SFA,債権管理システム,CRM
顧客に対するアプローチ方法を営業部門全体で共有しやすくなるシステム,H21A015,SFA,CRM,債権管理システム,SCM
一会計期間ごとに決算を行い、賃借対応表や損益計算書などの財務諸表の作成が強制される会計,H21A018,財務会計,管理会計,-,-
企業の経営者が株主や債権者などの企業外務の利害関係者に対して会計報告を行うこと,H21A018,財務会計,管理会計,-,-
財務諸表規則や企業会計原則、各種会計基準などの会計法規に準拠した会計処理を行う会計の事,H21A018,財務会計,管理会計,-,-
部門、製品、地域別などの予算統制、利益管理、業績管理など、敬遠判断のための内部報告書を作成すること,H21A018,管理会計,財務会計,-,-
システム利用者のニースの管理を行うこと,H21A019,要件定義プロセス,企画プロセス,開発プロセス,-
